token_symbol,token_address
$FROY,9134D733AAC991B96E899AF657C717276A627E32
$MAYA,44788CC53E80DBC16C19DC6DA221FEDCFA62C112
ASTRO,7A6E53EA8A9B81ECDB623CDC546026FAC5DE0133
BALLZ,C6BC81A0E287CC8103CC002147A9D76CAE4CD6E5
BITCH,646E178A05B4CB4F2B36D04BD02767CFEED730CA
CHIPS,BD82F3BFE1DF0C84FAEC88A22EBC34C9A86595DC
CHUCK,B8D41DB605A3258010D531429E85B13C7ABDE579
COOK,69E48CE9CF965ACC1DE2AD5AD2FDBC3BDB51509B
FXS,64445F0AECC51E94AD52D8AC56B7190E764E561A
GOKU,019EA1347BD9BC912C0221D24983A74E9386B794
GOKU,ED3E0644FC346EAD346E8FF5C91E07AF197C3300
HAPE,490736A46AABA689DB5265510B5C53AF4C23DED4
HOOD,B629B01A0B3BE5FDAB174464507B37C67C3C6084
JAYJEO,F5020DC8EC5E0EF8869ECC3044933356650B61CF
JELLY,8D4BD7F15AB970BF9ADE5B15116CD663BF8C861E
JOG,49D1BBFAF4038D5E53124AEDB6809CEDCA3D28A5
MILLI,95597EB8D227A7C4B4F5E807A815C5178EE6DBE1
MOOZ,65856BB190955C72D4FD9B1B5700B29067018492
NINJA,6B92994F5D5D7D36608BDED50724282F1E58FBB1
OS,99B85E9DFFFED176E46A3BE009AB9F9FE6AE59ED
Oolong,74547390FE40D5CEA666008D44FEBE1340E7A3B0
POPO,C18B6A15FB0CEAF5EB18696EEFCB5BC7B9107149
RED,D049E189ACC1873BCA8C0A314D6B26835684FB89
REX,6291148AE49E0F0D847BB97C4E060E49D87638BA
ROCK,83C82F0F959AD3EFF528EE513B43808AA53F4B37
RP,3F881DCF03B6360C4B01433CEA0DF487079A6C63
S8N,DF3D7DD2848F491645974215474C566E79F2E538
SAKE,E85DC0CCECA105755753FEF452C091DEF5324138
SBC,3EA30C06F4BA6F696D3BA4B660C39DA96ED8F686
SDOG,DA74E4855E0C04AEABFCD44E97A971CFFA14B192
SEI,67DA7010C6C231AD620E3940E707ADB6C1A08F23
SEIPEPE,17FE1101AF2DAB1AF0317D1AD1BD66CD06DA4B5C
SEIRO,C66A9B784C0FE8C2EF7DDABFACCC6C37B15E73AA
SEIYAN,5F0E07DFEE5832FAA00C63F2D33A0D79150E8598
SEIYUN,ECF7F1EFC9620A911339619C91C9FA0F71E0600E
SENSEI,9B31AD7D1EE5A37C64A5972275C5F09FFFBC2C6F
SHISHO,D0C7EDF2109BE009364AC3DB76C6FE8A75728657
SPECTRE,53CF8D940A0AB48A510D5DB329116CE691AE233C
SPEX,3A0A7A3CA25C17D15E8D51332FB25BFEA274D107
SUGA,99FA237BD58B3E991C1A20A9697FEA43FE959CAC
SUPERSEIZ,F63980E3818607C0797E994CFD34C1C592968469
SolvBTC,541FD749419CA806A8BC7DA8AC23D346F2DF8B77
UMI,893CC8A006B88BEEF66C79BBB1C14B9C6C0AD7CC
USDA,0BBDA0F76E205FC6A160B90A09975FA443B3FE44
USDC,3894085EF7FF0F0AEDF52E2A2704928D1EC074F1
USDT,B75D0B03C06A926E488E2659DF1A861F860BD3D1
USDa,FF12470A969DD362EB6595FFB44C82C959FE9ACC
USDâ‚®0,9151434B16B9763660705744891FA906F660ECC5
VROS,7950C5FBD48F6BC3555D1DAE2C03E0EA5EB987DC
WAIT,00BC9AF972B5FB3B7FA04827BD3C17D4599BAD8B
WBTC,0555E30DA8F98308EDB960AA94C0DB47230D2B9C
WETH,160345FC359604FC6E70E3C5FACBDE5F7A9342D8
WILSON,962AAE191622498BCA205C1C1B73E59AC7D295F2
WSEI,E30FEDD158A2E3B13E9BADAEABAFC5516E95E8C7
YAKA,51121BCAE92E302F19D06C193C95E1F7B81A444B
frxETH,43EDD7F3831B08FE70B7555DDD373C8BF65A9050
frxUSD,80EEDE496655FB9047DD39D9F418D5483ED600DF
sFRAX,5BFF88CA1442C2496F7E475E9E7786383BC070C0
sfrxETH,3EC3849C33291A9EF4C5DB86DE593EB4A37FDE45
syUSD,059A6B0BA116C63191182A0956CF697D0D2213EC
syUSD,BB5850008495B4D7E4C242E30FFC5B6A0F7E916E
uBTC,78E26E8B953C7C78A58D69D8B9A91745C2BBB258
xSEIYAN,9D9B12C69555669966D36596C56061B6CC0A937D
